Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
07:29 (+16),07:45,ICE 606,Erfurt Hbf (ab 05:25),6
07:29,07:29,RE 3343,Schwedt(Oder) (ab 06:04),
07:32,07:32,ICE 1503,Berlin Gesundbrunnen (ab 07:26),4
07:37,07:37,RE 62004,Wismar (ab 04:26),2
07:39,07:39,RB 21830,Flughafen BER (ab 07:16),
07:43,07:43,RE 3506,Berlin Südkreuz (ab 07:34),
07:46 (+4),07:50,EN 40476,Budapest-Nyugati (ab 19:30),5
07:46 (+4),07:50,NJ 456,Graz Hbf (ab 19:21),5
07:50 (+7),07:57,RE 3169,Jüterbog (ab 07:02),
07:51,07:51,ICE 904,München Hbf (ab 23:12),7
07:52,07:52,RB 18505,Cottbus Hbf (ab 06:12),8
08:05,08:05,RE 3166,Stendal Hbf (ab 06:47),
08:06 (+3),08:09,ICE 698,München Hbf (ab 22:46),8
08:09,08:09,RB 21834,Flughafen BER (ab 07:46),
08:12,08:12,ICE 148,Berlin Südkreuz (ab 06:54),
08:13 (+9),08:22,RE 3505,Grimmen (ab 05:24),3
08:15 (+3),08:18,RE 62009,Elsterwerda (ab 06:40),8
08:19,08:19,RE 3344,Halle(Saale)Hbf (ab 05:46),
08:22 (+5),08:27,ICE 505,Hamburg Hbf (ab 06:34),
08:22,08:22,RE 21836,Flughafen BER (ab 08:01),
08:28 (+2),08:30,RJ 870,Dresden Hbf (ab 06:53),
08:29,08:29,RE 3303,Stralsund Hbf (ab 05:10),2 A - D
08:30 (+20),08:50,ICE 2570,Erfurt Hbf (ab 06:30),5
08:30 (+2),08:32,ICE 2822,München Hbf (ab 14:45),5
08:32,08:32,ICE 1005,Berlin Gesundbrunnen (ab 08:26),4
08:35,08:35,RE 62006,Wittenberge (ab 07:05),2 D - G
08:39,08:39,RB 21838,Flughafen BER (ab 08:16),
08:40,08:40,EN 345,Stockholm Central (ab 17:28),-
08:42 (+2),08:44,ICE 841,Hannover Hbf (ab 06:50),
08:43 (+2),08:45,RE 4354,Berlin Südkreuz (ab 08:34),
08:52,08:52,RE 3149,Falkenberg(Elster) (ab 07:18),
08:53,08:53,RB 18507,Lübbenau(Spreewald) (ab 07:44),
08:53,08:53,RE 18507,Lübbenau(Spreewald) (ab 07:44),
08:54,08:54,ICE 936,Eisenach Hbf (ab 06:37),6
09:01,09:01,ICE 837,Berlin Gesundbrunnen (ab 08:56),4
09:06,09:06,RE 3148,Rathenow (ab 08:05),
09:08,09:08,RB 21842,Flughafen BER (ab 08:46),
09:13,09:13,RE 4355,Rostock Hbf (ab 06:34),3
09:13,09:13,RE 62011,Elsterwerda (ab 07:29),5
09:18,09:18,RE 3306,Luckenwalde (ab 08:35),6
09:23 (+10),09:33,ICE 1104,Erfurt Hbf (ab 07:46),
09:23 (+19),09:42,ICE 2587,Hamburg Hbf (ab 07:27),4
09:23,09:23,RE 21844,Flughafen BER (ab 09:01),
09:29,09:29,ICE 604,Nürnberg Hbf (ab 05:28),6
09:29,09:29,RE 3345,Schwedt(Oder) (ab 08:04),
09:32,09:32,ICE 1505,Berlin Gesundbrunnen (ab 09:26),4
09:38,09:38,RE 62008,Wismar (ab 06:21),2
09:39,09:39,RB 21846,Flughafen BER (ab 09:16),
09:41 Ausfall,--:--,FLX 1237,Hamburg Hbf (ab 07:39),4
09:43,09:43,RE 3508,Berlin Südkreuz (ab 09:34),
09:45 (+3),09:48,ICE 741,Münster(Westf)Hbf (ab 05:03),2
09:52,09:52,RE 3171,Jüterbog (ab 09:02),
09:53 (+12),10:05,RB 18509,Lübbenau(Spreewald) (ab 08:44),
10:00 (+2),10:02,FLX 1234,Leipzig Hbf (ab 08:45),5
10:05 (+1),10:06,RE 3168,Stendal Hbf (ab 08:47),
10:08 (+4),10:12,RB 21850,Flughafen BER (ab 09:46),
10:12 (+21),10:33,ICE 2901,Köln Hbf (ab 04:21),3
10:12 (+21),10:33,ICE 843,Köln Hbf (ab 04:27),3
10:12 (+21),10:33,ICE 853,Köln Hbf (ab 04:51),
10:12 (+2),10:14,RE 3507,Grimmen (ab 07:24),4
10:14 (+3),10:17,RE 62013,Elsterwerda (ab 08:40),8
10:14,10:14,RE 8,Wünsdorf-Waldstadt (ab 19:31),
10:20,10:20,RE 3346,Lutherstadt Wittenberg Hbf (ab 08:52),
10:22 (+3),10:25,ICE 507,Hamburg Hbf (ab 08:34),3
10:23 (+2),10:25,ICE 1604,München Hbf (ab 04:36),5
10:24,10:24,RB 21852,Flughafen BER (ab 10:01),7
10:29 (+1),10:30,RE 3305,Stralsund Hbf (ab 07:10),2 A - D
10:29 (+3),10:32,RJ 384,Praha hl.n. (ab 06:31),6
10:30 (+2),10:32,ICE 2596,Frankfurt(Main)Hbf (ab 06:15),5
10:35 (+1),10:36,RE 62010,Wittenberge (ab 09:05),2 D - G
10:39,10:39,RB 21854,Flughafen BER (ab 10:16),
10:43 (+1),10:44,RE 4356,Berlin Südkreuz (ab 10:34),5
10:52,10:52,RB 18511,Lübbenau(Spreewald) (ab 09:44),8
10:52,10:52,RE 18511,Lübbenau(Spreewald) (ab 09:44),
10:52,10:52,RE 3151,Falkenberg(Elster) (ab 09:18),7
10:54,10:54,ICE 934,Darmstadt Hbf (ab 06:37),6
11:00 Ausfall,--:--,ICE 144,Berlin Südkreuz (ab 10:54),7
11:01 (+1),11:02,ICE 839,Stralsund Hbf (ab 08:07),4
11:06,11:06,RE 3150,Rathenow (ab 10:02),
11:08 (+1),11:09,RB 21858,Flughafen BER (ab 10:46),
11:10,11:10,ICE 543,Köln Hbf (ab 04:59),2
11:11 (+10),11:21,RE 4357,Rostock Hbf (ab 08:34),4
11:13,11:13,RE 62015,Elsterwerda (ab 09:29),5
11:18,11:18,RE 3308,Luckenwalde (ab 10:35),6
11:23 (+24),11:47,ICE 1102,München Hbf (ab 05:33),5
11:23 (+25),11:48,ICE 2589,Hamburg Hbf (ab 09:15),4
11:23,11:23,RB 21860,Flughafen BER (ab 11:01),8
11:29 (+5),11:34,ICE 602,München Hbf (ab 06:38),6
11:29,11:29,RE 3347,Schwedt(Oder) (ab 10:04),2
11:34,11:34,ICE 378,Karlsruhe Hbf (ab 05:59),3
11:38,11:38,RE 62012,Wismar (ab 08:21),2
11:39,11:39,RB 21862,Flughafen BER (ab 11:16),8
11:41 (+78),12:59,FLX 1239,Hamburg Hbf (ab 09:39),4
11:43 (+1),11:44,RE 3510,Berlin Südkreuz (ab 11:34),6
11:53,11:53,RE 3173,Jüterbog (ab 11:02),8
11:55,11:55,RB 18513,Lübbenau(Spreewald) (ab 10:44),7
12:00 (+55),12:55,FLX 1236,Stuttgart Hbf (ab 06:17),5
12:01,12:01,ICE 1138,Frankfurt(M) Flughafen Regionalbf (ab 07:41),3
12:05 (+2),12:07,RE 3170,Stendal Hbf (ab 10:47),2
12:08,12:08,RB 21866,Flughafen BER (ab 11:46),6
12:11 (+4),12:15,RE 3509,Grimmen (ab 09:24),
12:12 (+70),13:22,ICE 1925,Köln Hbf (ab 06:53),3
12:12 (+70),13:22,ICE 2925,Köln Hbf (ab 06:21),3
12:12 (+70),13:22,ICE 845,Köln Hbf (ab 06:21),3
12:12 (+70),13:22,ICE 855,Köln Hbf (ab 06:53),3
12:16 (+1),12:17,RE 62017,Baruth(Mark) (ab 11:21),8
12:19 (+2),12:21,RE 3348,Lutherstadt Wittenberg Hbf (ab 10:45),6
12:22 (+4),12:26,ICE 2829,Hannover Hbf (ab 05:27),3
12:22 (+4),12:26,ICE 509,Hamburg Hbf (ab 10:34),3
12:23 (+24),12:47,ICE 1602,München Hbf (ab 06:39),5
12:23,12:23,RB 21868,Flughafen BER (ab 12:01),
12:29,12:29,EC 178,Praha hl.n. (ab 08:31),6
12:29 (+1),12:30,RE 3307,Stralsund Hbf (ab 09:10),
12:29,12:29,RJ 178,Praha hl.n. (ab 08:31),6
12:30 (+39),13:09,FLX 1324,Leipzig Hbf (ab 11:04),6
12:33 (+40),13:13,ICE 2594,Stuttgart Hbf (ab 06:49),7
12:35,12:35,RE 62014,Wittenberge (ab 11:05),2 D - G
12:39,12:39,RB 21870,Flughafen BER (ab 12:16),
12:43 (+3),12:46,RE 4358,Berlin Südkreuz (ab 12:34),6
12:52 (+11),13:03,RE 3153,Falkenberg(Elster) (ab 11:18),7
12:53 (+11),13:04,RB 18515,Lübbenau(Spreewald) (ab 11:44),8
12:55 (+25),13:20,ICE 141,Amsterdam Centraal (ab 06:00),2
13:01 (+5),13:06,ICE 931,Ostseebad Binz (ab 09:15),4
13:06 (+10),13:16,ICE 932,Saarbrücken Hbf (ab 06:28),6
13:10 (+9),13:19,ICE 545,Köln Hbf (ab 07:10),2
13:11 (+9),13:20,RE 4359,Rostock Hbf (ab 10:34),4
13:13 (+17),13:30,RE 62019,Elsterwerda (ab 11:29),5
13:18 Ausfall,--:--,RE 3310,Luckenwalde (ab 12:35),6
13:20 (+37),13:57,FLX 1321,Köln Hbf (ab 08:14),2
13:23 (+12),13:35,ICE 1100,München Hbf (ab 07:36),5
13:23 (+18),13:41,ICE 2591,Hamburg Hbf (ab 11:27),4
13:29 (+4),13:33,ICE 600,München Hbf (ab 08:39),6
13:34 (+16),13:50,ICE 2526,Offenburg (ab 07:28),3
13:38,13:38,RE 62016,Wismar (ab 10:21),2
13:39 (+8),13:47,RB 21878,Flughafen BER (ab 13:16),
13:41 (+13),13:54,FLX 1241,Hamburg Hbf (ab 11:39),4
13:43 (+6),13:49,RE 3512,Berlin Südkreuz (ab 13:34),5
13:52,13:52,RE 3175,Jüterbog (ab 13:02),7
13:53,13:53,RB 18517,Lübbenau(Spreewald) (ab 12:44),8
14:00 (+2),14:02,FLX 1238,Stuttgart Hbf (ab 08:14),5
14:05,14:05,RE 3172,Stendal Hbf (ab 12:47),
14:08,14:08,RB 21882,Flughafen BER (ab 13:46),
14:11 (+2),14:13,RE 3511,Grimmen (ab 11:24),4
14:12 (+5),14:17,ICE 1927,Köln Hbf (ab 08:53),3
14:12 (+5),14:17,ICE 847,Köln Hbf (ab 08:26),3
14:12 (+5),14:17,ICE 857,Köln Hbf (ab 08:53),3
14:18,14:18,RE 62021,Baruth(Mark) (ab 13:20),7 D - G
14:19,14:19,RE 3350,Lutherstadt Wittenberg Hbf (ab 12:52),
14:22 (+4),14:26,ICE 1600,München Hbf (ab 08:34),5
14:22 (+4),14:26,ICE 2824,München Hbf (ab 08:34),5
14:22 (+7),14:29,ICE 601,Hamburg Hbf (ab 12:34),3
14:23,14:23,RB 21884,Flughafen BER (ab 14:01),
14:29 (+10),14:39,RE 3309,Stralsund Hbf (ab 11:10),2 A - D
14:29 (+4),14:33,RJ 382,Praha hl.n. (ab 10:31),6
14:30 (+29),14:59,ICE 2592,München Hbf (ab 06:43),5
14:35 (+6),14:41,RB 62018,Wittenberge (ab 13:05),2 D - G
14:35,14:35,RE 62018,Wittenberge (ab 13:05),
14:39,14:39,RB 21886,Flughafen BER (ab 14:16),
14:43 (+1),14:44,RE 4360,Berlin Südkreuz (ab 14:34),5
14:52,14:52,RE 3155,Falkenberg(Elster) (ab 13:18),
14:53,14:53,RB 18519,Lübbenau(Spreewald) (ab 13:44),8
14:53,14:53,RE 18519,Lübbenau(Spreewald) (ab 13:44),
14:54 (+64),15:58,ICE 930,Frankfurt(Main)Hbf (ab 11:02),6
15:00 Ausfall,--:--,ICE 140,Berlin Südkreuz (ab 14:54),7
15:01 (+1),15:02,ICE 933,Ostseebad Binz (ab 11:24),4
15:06,15:06,RE 3154,Rathenow (ab 14:02),
15:08 (+2),15:10,RB 21890,Flughafen BER (ab 14:46),
15:10 (+34),15:44,ICE 547,Köln Hbf (ab 09:25),2
15:11 (+15),15:26,RE 4361,Rostock Hbf (ab 12:34),4
15:13 (+4),15:17,RE 62023,Elsterwerda (ab 13:29),5
15:18,15:18,RE 3312,Luckenwalde (ab 14:35),6
