Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
15:38 Ausfall,RE 3350,Schwedt(Oder) (an 16:56),Berlin Gesundbrunnen
15:44 (+39),IC 2176,Rostock Hbf (an 17:36),Berlin Gesundbrunnen
15:49 (+1),EC 247,Warszawa Wschodnia (an 21:16),Berlin Gesundbrunnen
15:50 (+94),ICE 1072,Ostseebad Binz (an 19:29),Berlin Gesundbrunnen
15:50 (+93),RE 51072,Prenzlau (an 17:03),Berlin Gesundbrunnen
15:56 (+21),RE 3514,Stralsund Hbf (an 18:51),Berlin Gesundbrunnen
16:01 (+6),ICE 1075,Berlin Südkreuz (an 16:13),Berlin Gesundbrunnen
16:01,RE 51075,Berlin Südkreuz (an 16:13),Berlin Gesundbrunnen
16:08 (+4),RE 3513,Berlin Südkreuz (an 16:28),Berlin Gesundbrunnen
16:12,RE 3124,Lübbenau(Spreewald) (an 17:33),Berlin Gesundbrunnen
16:13,RE 18762,Lübbenau(Spreewald) (an 17:14),Berlin Gesundbrunnen
16:14,RB 18265,Potsdam Hbf (an 17:23),Berlin Gesundbrunnen
16:18 (+65),IC 2271,Chemnitz Hbf (an 19:31),Berlin Gesundbrunnen
16:24 (+23),RE 3351,Lutherstadt Wittenberg Hbf (an 17:59),Berlin Gesundbrunnen
16:39 (+7),RE 3314,Stralsund Hbf (an 19:41),Berlin Gesundbrunnen
16:41,RE 52828,Berlin Südkreuz (an 16:54),Berlin Gesundbrunnen
16:43 (+29),ICE 690,Rostock Hbf (an 18:36),Berlin Gesundbrunnen Bhf
16:43 (+30),ICE 690,Rostock Hbf (an 18:36),Berlin Gesundbrunnen
16:49 (+1),EC 55,Krakow Glowny (an 23:49),Berlin Gesundbrunnen
16:55 (+1),RE 4362,Rostock Hbf (an 19:21),Berlin Gesundbrunnen
17:06,RE 3338,Pasewalk (an 18:45),Berlin Gesundbrunnen
17:06 (+8),RE 4363,Berlin Südkreuz (an 17:22),Berlin Gesundbrunnen
17:06 (+6),RE 4363,Berlin Südkreuz (an 17:22),Berlin Gesundbrunnen Bhf
17:11,RE 18764,Lübbenau(Spreewald) (an 18:14),Berlin Gesundbrunnen
17:14,RB 18267,Potsdam Hbf (an 18:23),Berlin Gesundbrunnen
17:17 (+37),RE 52833,Schwerin Hbf (an 19:47),Berlin Gesundbrunnen Bhf
17:17,RE 52833,Schwerin Hbf (an 19:47),Berlin Gesundbrunnen
17:20 (+5),IC 2475,Magdeburg Hbf (an 18:55),Berlin Gesundbrunnen Bhf
17:20 (+9),IC 2475,Magdeburg Hbf (an 18:55),Berlin Gesundbrunnen
17:24 (+13),RE 3313,Jüterbog (an 18:26),Berlin Gesundbrunnen
17:38 (+7),RE 3352,Schwedt(Oder) (an 18:56),Berlin Gesundbrunnen
17:44 (+10),IC 2174,Rostock Hbf (an 19:36),Berlin Gesundbrunnen Bhf
17:44 (+17),IC 2174,Rostock Hbf (an 19:36),Berlin Gesundbrunnen
17:48 (+1),EC 249,Warszawa Wschodnia (an 23:16),Berlin Gesundbrunnen
17:49 (+21),ICE 1070,Stralsund Hbf (an 20:33),Berlin Gesundbrunnen
17:49 (+13),RE 51070,Prenzlau (an 19:03),Berlin Gesundbrunnen
17:55 (+11),RE 3516,Stralsund Hbf (an 20:51),Berlin Gesundbrunnen
18:04 (+5),RE 3515,Berlin Südkreuz (an 18:24),Berlin Gesundbrunnen
18:08,RE 3332,Angermünde (an 19:00),Berlin Gesundbrunnen
18:10 (+5),ICE 1715,Berlin Südkreuz (an 18:23),Berlin Gesundbrunnen
18:10 (+5),RE 51715,Berlin Südkreuz (an 18:23),Berlin Gesundbrunnen
18:14,RB 18269,Potsdam Hbf (an 19:23),Berlin Gesundbrunnen
18:18 (+4),IC 2273,Chemnitz Hbf (an 21:31),Berlin Gesundbrunnen
18:23,RE 3630,Perleberg (an 20:51),Berlin Gesundbrunnen
18:24 (+9),RE 3353,Lutherstadt Wittenberg Hbf (an 19:59),Berlin Gesundbrunnen
18:39 (+5),RE 3316,Stralsund Hbf (an 21:42),Berlin Gesundbrunnen
18:40,RE 52830,Berlin Südkreuz (an 18:53),Berlin Gesundbrunnen
18:45 (+1),ICE 937,Stuttgart Hbf (an 00:37),Berlin Gesundbrunnen
18:55 (+1),RE 4364,Rostock Hbf (an 21:21),Berlin Gesundbrunnen
19:06 (+5),RE 4365,Berlin Südkreuz (an 19:23),Berlin Gesundbrunnen Bhf
19:06 (+8),RE 4365,Berlin Südkreuz (an 19:23),Berlin Gesundbrunnen
19:08,ICE 697,Frankfurt(Main)Hbf (an 23:48),Berlin Gesundbrunnen
19:16,RB 18271,Potsdam Hbf (an 20:23),Berlin Gesundbrunnen
19:17 (+1),RE 52835,Schwerin Hbf (an 21:48),Berlin Gesundbrunnen Bhf
19:17,RE 52835,Schwerin Hbf (an 21:48),Berlin Gesundbrunnen
19:23 (+6),RE 3315,Berlin Hbf (an 19:28),Berlin Gesundbrunnen
19:23,RE 3632,Perleberg (an 21:51),Berlin Gesundbrunnen
19:44 (+1),IC 2172,Rostock Hbf (an 21:36),Berlin Gesundbrunnen
19:49,RE 3370,Angermünde (an 20:35),Berlin Gesundbrunnen
19:55 (+1),RE 3518,Stralsund Hbf (an 22:51),Berlin Gesundbrunnen
20:05,RE 3517,Berlin Südkreuz (an 20:20),Berlin Gesundbrunnen
20:09,ICE 1077,Berlin Hbf (an 20:16),Berlin Gesundbrunnen
20:09,RE 51077,Berlin Hbf (an 20:16),Berlin Gesundbrunnen
20:13,RB 18273,Potsdam Hbf (an 21:23),Berlin Gesundbrunnen
