Ankunft ▼,Ist ▼,Zugnr. ▼,von (Abfahrt) ▼,Gleis ▼
11:10,11:10,RE 3616,Berlin-Charlottenburg (ab 11:03),3
11:12 (+19),11:31,ICE 144,Berlin Südkreuz (ab 10:54),3
11:15 (+4),11:19,ICE 378,Karlsruhe Hbf (ab 05:59),6
11:20 (+4),11:24,RE 62012,Wismar (ab 08:21),5
11:24 (+12),11:36,FLX 1239,Hamburg-Bergedorf (ab 09:49),6
11:27,11:27,RB 18252,Wustermark (ab 11:09),
11:31,11:31,RE 62015,Elsterwerda (ab 09:29),3
11:34,11:34,ICE 799,Berlin-Charlottenburg (ab 11:28),4
11:35,11:35,RB 18613,Nauen (ab 11:10),
11:42 (+1),11:43,RE 3615,Wittenberge (ab 09:05),
11:45 (+2),11:47,ICE 1138,Frankfurt(M) Flughafen Regionalbf (ab 07:41),
11:52,11:52,RE 3170,Stendal Hbf (ab 10:47),6
11:54,11:54,RE 3115,Cottbus Hbf (ab 10:03),3
11:57 (+54),12:51,ICE 2477,Köln Hbf (ab 06:26),
11:57 (+54),12:51,ICE 2479,Köln Hbf (ab 06:53),
11:57 (+54),12:51,ICE 845,Köln Hbf (ab 06:26),5
11:57 (+54),12:51,ICE 855,Köln Hbf (ab 06:53),5
11:58 (+27),12:25,ICE 940,Berlin Hbf (ab 11:47),4
11:58 (+27),12:25,ICE 950,Berlin Hbf (ab 11:47),4
12:04,12:04,RE 3116,Nauen (ab 11:39),5
12:04 (+13),12:17,RE 3173,Jüterbog (ab 11:02),
12:13,12:13,RE 3618,Berlin-Charlottenburg (ab 12:02),3
12:20,12:20,RE 62014,Wittenberge (ab 11:05),
12:22 (+12),12:34,ICE 2820,Frankfurt(Main)Hbf (ab 04:41),
12:22 (+12),12:34,ICE 994,Stuttgart Hbf (ab 06:28),6
12:27,12:27,RB 18254,Wustermark (ab 12:09),
12:29 (+5),12:34,FLX 1236,Stuttgart Hbf (ab 06:17),3
12:35,12:35,RB 18615,Nauen (ab 12:11),
12:35,12:35,RE 62017,Berlin Südkreuz (ab 12:07),3
12:42 (+8),12:50,ICE 2525,Berlin Hbf (ab 12:31),4
12:43 (+1),12:44,RE 3617,Wittenberge (ab 10:05),
12:44 (+203),16:07,ICE 141,Amsterdam Centraal (ab 06:00),6
12:47,12:47,FLX 1324,Leipzig Hbf (ab 11:04),3
12:52,12:52,RE 3152,Rathenow (ab 12:02),6
12:54,12:54,RE 3117,Cottbus Hbf (ab 11:03),3
13:04,13:04,RE 3118,Nauen (ab 12:39),5
13:04,13:04,RE 3153,Falkenberg(Elster) (ab 11:18),4
13:10,13:10,FLX 1321,Köln Hbf (ab 08:14),6
13:15 (+10),13:25,ICE 2526,Offenburg (ab 07:28),6
13:20,13:20,RE 62016,Wismar (ab 10:21),5
13:24 (+20),13:44,FLX 1241,Hamburg-Bergedorf (ab 11:49),6
13:27,13:27,RB 18256,Wustermark (ab 13:09),
13:31,13:31,RE 62019,Elsterwerda (ab 11:29),3
13:34 (+10),13:44,ICE 2835,Berlin-Charlottenburg (ab 13:28),4
13:34,13:34,ICE 993,Berlin-Charlottenburg (ab 13:28),4
13:35,13:35,RB 18617,Nauen (ab 13:10),
13:42 (+8),13:50,RE 3619,Wittenberge (ab 11:05),
