Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
19:56,FEX19860,Rangsdorf (ab 18:51),Berlin Gesundbrunnen
20:00 (+64),ICE 1002,München Hbf (ab 15:56),Berlin Gesundbrunnen
20:03 (+8),RE 3517,Burg Stargard(Meckl) (ab 18:38),Berlin Gesundbrunnen
20:07,ICE 1077,Ostseebad Binz (ab 16:20),Berlin Gesundbrunnen
20:07,RE 51077,Prenzlau (ab 18:54),Berlin Gesundbrunnen
20:17 (+1),IC 2275,Warnemünde (ab 17:52),Berlin Gesundbrunnen
20:18 (+4),S,Ziegelbrücke (ab 04:06),Berlin Gesundbrunnen(S)
20:21 (+7),RE 3355,Schwedt(Oder) (ab 19:06),Berlin Gesundbrunnen
20:27,FEX19862,Ludwigsfelde (ab 19:39),Berlin Gesundbrunnen
20:37 (+2),RE 3318,Lutherstadt Wittenberg Hbf (ab 19:05),Berlin Gesundbrunnen
20:40 (+1),RB 18270,Potsdam Hbf (ab 19:36),Berlin Gesundbrunnen
20:43 (+66),ICE 2468,Karlsruhe Hbf (ab 14:51),Berlin Gesundbrunnen
20:43 (+69),ICE 72,Basel SBB (ab 13:13),Berlin Gesundbrunnen
20:48,RE 3379,Angermünde (ab 20:00),Berlin Gesundbrunnen
20:53,RE 4366,Berlin Südkreuz (ab 20:36),Berlin Gesundbrunnen
20:56,RE 73744,Magdeburg Hbf (ab 19:12),Berlin Gesundbrunnen
20:57,FEX19864,Wünsdorf-Waldstadt (ab 19:27),Berlin Gesundbrunnen
21:02,RE 73749,Frankfurt(Oder) (ab 19:55),Berlin Gesundbrunnen
21:03 Ausfall,RE 4367,Rostock Hbf (ab 18:34),Berlin Gesundbrunnen
21:05 (+1),DPN,Freyung Bf (ab 12:45),Berlin Gesundbrunnen
21:05,HBX80429,Goslar (ab 17:05),Berlin Gesundbrunnen
21:05,HBX80439,Thale Hbf (ab 17:17),Berlin Gesundbrunnen
21:18 (+1),ICE 118,Innsbruck Hbf (ab 08:54),Berlin Gesundbrunnen
21:21 (+2),RE 3317,Stralsund Hbf (ab 18:16),Berlin Gesundbrunnen
21:27,FEX19866,Ludwigsfelde (ab 20:32),Berlin Gesundbrunnen
21:45,RB 17469,Rheinsberg(Mark) (ab 20:26),Berlin Gesundbrunnen
21:45,RB 61200,Rheinsberg(Mark) (ab 20:26),Berlin Gesundbrunnen
21:56,FEX19868,Flughafen BER (ab 21:28),Berlin Gesundbrunnen
22:00 (+77),ICE 1000,München Hbf (ab 17:35),Berlin Gesundbrunnen
22:03,RE 3519,Burg Stargard(Meckl) (ab 20:38),Berlin Gesundbrunnen
22:03,RE5,Sachsenhausen(Nordb) (ab 00:19),Berlin Gesundbrunnen
22:08,IC 256,Graz Hbf (ab 10:20),Berlin Gesundbrunnen
22:08 (+4),RE 50256,Elsterwerda (ab 20:28),Berlin Gesundbrunnen
22:08 (+4),RJ 256,Graz Hbf (ab 10:20),Berlin Gesundbrunnen
22:20,RE 73788,Brandenburg Hbf (ab 21:19),Berlin Gesundbrunnen
22:22,RE 3357,Schwedt(Oder) (ab 21:06),Berlin Gesundbrunnen
22:22 (+12),RE 93057,Schwedt(Oder) (ab 21:06),Berlin Gesundbrunnen
22:27 (+5),FEX19870,Ludwigsfelde (ab 21:39),Berlin Gesundbrunnen
22:27 (+45),ICE 702,München Hbf (ab 17:09),Berlin Gesundbrunnen
22:34 (+1),EC 40,Warszawa Wschodnia (ab 16:34),Berlin Gesundbrunnen
22:37 (+4),RE 3320,Lutherstadt Wittenberg Hbf (ab 21:00),Berlin Gesundbrunnen
22:41 (+62),ICE 2372,Karlsruhe Hbf (ab 16:51),Berlin Gesundbrunnen
22:44,RB 18274,Potsdam Park Sanssouci (ab 21:41),Berlin Gesundbrunnen
22:44,RB21,Erfurt Hbf (ab 05:59),Berlin Gesundbrunnen
22:56,FEX19872,Flughafen BER (ab 22:28),Berlin Gesundbrunnen
23:27,FEX19874,Ludwigsfelde (ab 22:39),Berlin Gesundbrunnen
23:27 (+1),RE 3319,Stralsund Hbf (ab 20:16),Berlin Gesundbrunnen
23:39 (+31),ICE 500,München Hbf (ab 18:56),Berlin Gesundbrunnen
23:56,FEX19876,Flughafen BER (ab 23:28),Berlin Gesundbrunnen
