Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
19:32 (+63),IC 149,Berlin Ostbahnhof (an 20:02),Berlin-Spandau
19:35 (+2),ICE 997,Kassel-Wilhelmshöhe (an 22:12),Berlin-Spandau
19:39,RE 62031,Elstal (an 19:52),Berlin-Spandau
19:48 (+5),ICE 1034,Berlin Ostbahnhof (an 20:14),Berlin-Spandau
19:49 Ausfall,ICE 2934,Hamburg-Altona (an 22:25),Berlin-Spandau
19:49 Ausfall,ICE 2936,Hamburg-Altona (an 22:25),Berlin-Spandau
19:49 Ausfall,ICE 504,Hamburg-Altona (an 22:25),Berlin-Spandau
19:51,RE 3178,Jüterbog (an 20:56),Berlin-Spandau
19:56,RE 3131,Hennigsdorf(b Berlin) (an 20:23),Berlin-Spandau
19:57 (+2),RB 18629,Berlin Südkreuz (an 20:17),Berlin-Spandau
20:00 (+7),ICE 842,Köln Hbf (an 01:15),Berlin-Spandau
20:00 (+87),ICE 943,Berlin Ostbahnhof (an 20:28),Berlin-Spandau
20:00 (+87),ICE 953,Berlin Ostbahnhof (an 20:28),Berlin-Spandau
20:03,RB 18628,Wustermark (an 20:19),Berlin-Spandau
20:04,RE 3132,Cottbus Hbf (an 21:55),Berlin-Spandau
20:08 (+4),ICE 1607,Leipzig Hbf (an 21:42),Berlin-Spandau
20:09 (+11),RE 3181,Stendal Hbf (an 21:28),Berlin-Spandau
20:21,RE 62030,Flughafen BER (an 21:15),Berlin-Spandau
20:25 (+15),ICE 794,Berlin Südkreuz (an 20:42),Berlin-Spandau
20:29 (+1),RB 18270,Berlin Gesundbrunnen (an 20:40),Berlin-Spandau
20:30 (+1),RB 18273,Potsdam Hbf (an 21:23),Berlin-Spandau
20:32 (+18),ICE 1053,Berlin Ostbahnhof (an 20:59),Berlin-Spandau
20:38,RE 62033,Elstal (an 20:52),Berlin-Spandau
20:46 (+7),ICE 879,Kassel-Wilhelmshöhe (an 23:12),Berlin-Spandau
20:48 (+18),ICE 643,Berlin Ostbahnhof (an 21:15),Berlin-Spandau
20:48 (+18),ICE 653,Berlin Ostbahnhof (an 21:15),Berlin-Spandau
20:49,ICE 704,Hamburg-Altona (an 23:24),Berlin-Spandau
20:52 (+3),RE 3160,Jüterbog (an 21:56),Berlin-Spandau
21:00 (+40),ICE 540,Oldenburg(Oldb)Hbf (an 00:23),Berlin-Spandau
21:03,RB 18630,Wustermark (an 21:21),Berlin-Spandau
21:04 (+1),RE 3134,Cottbus Hbf (an 22:55),Berlin-Spandau
21:17 (+5),ICE 276,Berlin Südkreuz (an 21:45),Berlin-Spandau
21:23,RE 62032,Flughafen BER (an 22:15),Berlin-Spandau
21:27 (+1),RB 18272,Berlin Gesundbrunnen (an 21:41),Berlin-Spandau
21:30,RB 18275,Potsdam Hbf (an 22:23),Berlin-Spandau
21:32 (+29),IC 241,Berlin Ostbahnhof (an 22:00),Berlin-Spandau
