Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
13:15,ICE 374,Basel SBB (ab 06:06),Berlin-Spandau
13:21,RE 62016,Wittenberge (ab 12:06),Berlin-Spandau
13:22 (+13),RB 18516,Berlin Südkreuz (ab 13:02),Berlin-Spandau
13:25 (+1),RB 18256,Potsdam Hbf (ab 12:36),Berlin-Spandau
13:28 (+1),RB 18259,Berlin Gesundbrunnen (ab 13:17),Berlin-Spandau
13:30 (+5),IC 143,Amersfoort Centraal (ab 08:36),Berlin-Spandau
13:33,RB 18517,Nauen (ab 13:08),Berlin-Spandau
13:36 (+2),RE 62019,Flughafen BER (ab 12:44),Berlin-Spandau
13:43 (+4),ICE 1695,Hamburg Hbf (ab 12:04),Berlin-Spandau
13:43 (+4),ICE 95,Hamburg Hbf (ab 12:04),Berlin-Spandau
13:46 (+3),ICE 1600,München Hbf (ab 08:47),Berlin-Spandau
13:49 (+7),RE 3172,Stendal Hbf (ab 12:44),Berlin-Spandau
13:54 (+1),RE 3119,Cottbus Hbf (ab 12:04),Berlin-Spandau
13:56 (+2),RB 18617,Nauen (ab 13:22),Berlin-Spandau
13:58 (+22),ICE 847,Köln Hbf (ab 09:19),Berlin-Spandau
13:58 (+22),ICE 857,Köln Hbf (ab 09:45),Berlin-Spandau
13:58,ICE 858,Berlin Ostbahnhof (ab 13:32),Berlin-Spandau
14:00,RB 18616,Ludwigsfelde (ab 12:32),Berlin-Spandau
14:02,RE 26107,Nauen (ab 13:37),Berlin-Spandau
14:02 (+1),RE 3120,Nauen (ab 13:37),Berlin-Spandau
14:07 (+6),RE 3175,Jüterbog (ab 13:03),Berlin-Spandau
14:10,ICE 1091,Berlin Ostbahnhof (ab 13:45),Berlin-Spandau
14:11 Ausfall,ICE 1601,Hamburg Hbf (ab 12:32),Berlin-Spandau
14:11 (+23),ICE 2943,Hamburg Hbf (ab 12:32),Berlin-Spandau
14:13 (+39),ICE 1694,München Hbf (ab 08:38),Berlin-Spandau
14:13 (+39),ICE 2824,Nürnberg Hbf (ab 10:35),Berlin-Spandau
14:13 (+29),ice 2824,Nürnberg Hbf (ab 10:35),Berlin-Spandau
14:13 (+70),ICE 94,Wien Hbf (ab 06:13),Berlin-Spandau
14:21,RE 61998,Wismar (ab 11:24),Berlin-Spandau
14:21 (+1),RE 62018,Wismar (ab 11:24),Berlin-Spandau
14:22 (+1),ICE 992,Frankfurt(M) Flughafen Fernbf (ab 10:09),Berlin-Spandau
14:22,RB 18518,Berlin Südkreuz (ab 14:02),Berlin-Spandau
14:24,IC 142,S+U Gesundbrunnen Bhf (ab 14:07),Berlin-Spandau
14:27 (+1),RB 18258,Potsdam Hbf (ab 13:36),Berlin-Spandau
14:28,RB 18261,Berlin Gesundbrunnen (ab 14:12),Berlin-Spandau
14:33 (+5),RB 18519,Nauen (ab 14:08),Berlin-Spandau
14:36 (+2),RE 62021,Flughafen BER (ab 13:44),Berlin-Spandau
14:44,ICE 375,Berlin Ostbahnhof (ab 14:19),Berlin-Spandau
14:45,ICE 800,München Hbf (ab 09:46),Berlin-Spandau
14:47 (+4),ICE 557,Köln Hbf (ab 10:45),Berlin-Spandau
14:50 (+1),RE 3154,Rathenow (ab 14:02),Berlin-Spandau
14:54 (+1),RE 3121,Cottbus Hbf (ab 13:04),Berlin-Spandau
14:56,RB 18619,Nauen (ab 14:27),Berlin-Spandau
14:58 (+1),ICE 546,Berlin Ostbahnhof (ab 14:32),Berlin-Spandau
14:58 (+4),ICE 547,Köln Hbf (ab 10:26),Berlin-Spandau
15:00,RB 18618,Ludwigsfelde (ab 13:39),Berlin-Spandau
15:02,RE 3122,Nauen (ab 14:37),Berlin-Spandau
15:06 (+2),RE 3155,Falkenberg(Elster) (ab 13:14),Berlin-Spandau
15:10 (+1),ICE 556,Berlin Ostbahnhof (ab 14:38),Berlin-Spandau
15:10 (+1),ICE 709,Hamburg Hbf (ab 13:36),Berlin-Spandau
15:15 (+24),ICE 372,Interlaken Ost (ab 05:59),Berlin-Spandau
15:21,RE 62020,Wittenberge (ab 14:06),Berlin-Spandau
15:22 (+13),RB 18520,Berlin Südkreuz (ab 15:02),Berlin-Spandau
15:25 (+1),RB 18260,Potsdam Hbf (ab 14:36),Berlin-Spandau
15:28 (+1),RB 18263,Berlin Jungfernheide (ab 15:24),Berlin-Spandau
15:30 (+3),IC 145,Amersfoort Centraal (ab 10:36),Berlin-Spandau
15:32 (+3),ICE 799,Berlin Südkreuz (ab 15:07),Berlin-Spandau
15:33 (+1),RB 18521,Nauen (ab 15:08),Berlin-Spandau
15:36 (+2),RE 62023,Flughafen BER (ab 14:44),Berlin-Spandau
15:45 (+5),ICE 508,München Hbf (ab 10:49),Berlin-Spandau
15:46,ICE 1139,Bremen Hbf (ab 13:15),Berlin-Spandau
15:49 (+3),RE 3174,Stendal Hbf (ab 14:44),Berlin-Spandau
15:54 (+12),RE 3123,Cottbus Hbf (ab 14:04),Berlin-Spandau
15:55 (+1),RB 18621,Nauen (ab 15:22),Berlin-Spandau
15:57 (+7),ICE 849,Köln Hbf (ab 11:17),Berlin-Spandau
15:57 (+7),ICE 859,Köln Hbf (ab 11:45),Berlin-Spandau
15:58 (+11),ICE 846,Berlin Ostbahnhof (ab 15:32),Berlin-Spandau
15:58 (+11),ICE 856,Berlin Ostbahnhof (ab 15:32),Berlin-Spandau
16:00,RB 18620,Ludwigsfelde (ab 14:32),Berlin-Spandau
16:02 (+1),RE 3124,Nauen (ab 15:37),Berlin-Spandau
16:07 (+18),RE 3177,Jüterbog (ab 15:03),Berlin-Spandau
16:08 (+1),ICE 603,Hamburg Hbf (ab 14:35),Berlin-Spandau
16:10 (+10),ICE 1095,Berlin Ostbahnhof (ab 15:46),Berlin-Spandau
16:21 (+1),RE 62022,Wismar (ab 13:24),Berlin-Spandau
16:22,ICE 798,Frankfurt(M) Flughafen Fernbf (ab 12:09),Berlin-Spandau
16:22 (+2),RB 18522,Berlin Südkreuz (ab 16:02),Berlin-Spandau
16:27 (+1),RB 18262,Potsdam Hbf (ab 15:36),Berlin-Spandau
16:28 (+2),RB 18265,Berlin Gesundbrunnen (ab 16:16),Berlin-Spandau
16:32 (+4),IC 140,Berlin Gesundbrunnen (ab 16:17),Berlin-Spandau
16:33 (+1),RB 18523,Nauen (ab 16:08),Berlin-Spandau
16:36 (+7),RE 62025,Flughafen BER (ab 15:44),Berlin-Spandau
16:43 (+2),ICE 377,Berlin Ostbahnhof (ab 16:17),Berlin-Spandau
16:44,ICE 935,Hamburg Hbf (ab 14:51),Berlin-Spandau
16:45 Ausfall,ICE 708,München Hbf (ab 11:13),Berlin-Spandau
16:49,FLX 1236,Berlin Hbf (ab 16:34),Berlin-Spandau
16:50,RE 3156,Rathenow (ab 16:02),Berlin-Spandau
16:54 (+4),RE 3125,Cottbus Hbf (ab 15:04),Berlin-Spandau
16:56 (+2),RB 18623,Nauen (ab 16:27),Berlin-Spandau
16:58 (+3),ICE 544,Berlin Ostbahnhof (ab 16:41),Berlin-Spandau
16:58 (+6),ICE 549,Düsseldorf Hbf (ab 12:47),Berlin-Spandau
16:58 (+3),ICE 554,Berlin Ostbahnhof (ab 16:41),Berlin-Spandau
16:58 (+6),ICE 559,Köln Hbf (ab 12:45),Berlin-Spandau
17:00,RB 18622,Ludwigsfelde (ab 15:39),Berlin-Spandau
17:02,RE 18444,Lausanne (ab 00:50),Berlin-Spandau
17:02 (+4),RE 3126,Nauen (ab 16:37),Berlin-Spandau
17:06 (+2),RE 3157,Falkenberg(Elster) (ab 15:14),Berlin-Spandau
17:10 (+1),ICE 801,Hamburg Hbf (ab 15:36),Berlin-Spandau
17:16,ICE 370,Basel SBB (ab 10:13),Berlin-Spandau
17:21,RE 62024,Wittenberge (ab 16:06),Berlin-Spandau
17:22,RB 18524,Berlin Südkreuz (ab 17:02),Berlin-Spandau
