Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
12:49 (+1),ICE 558,Hannover Hbf (an 14:37),Berlin Hbf
12:55,ICE 1545,Berlin Ostbahnhof (an 13:02),Berlin Hbf
12:57 (+2),ICE 931,Frankfurt(Main)Hbf (an 16:56),Berlin Hbf
12:57,RE 3153,Rathenow (an 13:55),Berlin Hbf
12:58 (+10),EC 176,Hamburg-Altona (an 15:24),Berlin Hbf
12:59,RE 73728,Erkner (an 13:30),Berlin Hbf
13:01,RE 73733,Magdeburg Hbf (an 14:47),Berlin Hbf
13:01,RE 92652,Magdeburg Hbf (an 14:47),Berlin Hbf
13:02 (+2),ICE 1109,München Hbf (an 17:10),Berlin Hbf
13:04 (+3),ICE 932,Ostseebad Binz (an 17:00),Berlin Hbf
13:04,RE 50932,Prenzlau (an 14:16),Berlin Hbf
13:05 (+5),EC 175,Praha hl.n. (an 17:23),Berlin Hbf
13:06 (+5),ICE 756,Aachen Hbf (an 19:13),Berlin Hbf
13:06 (+1),RE 3152,Falkenberg(Elster) (an 14:34),Berlin Hbf
13:12,RB 18516,Nauen (an 13:50),Berlin Hbf
13:14 (+1),RE 3723,Dessau Hbf (an 14:53),Berlin Hbf
13:15 (+1),ICE 797,Fulda (an 16:44),Berlin Hbf
13:20,ICE 545,Berlin Ostbahnhof (an 13:27),Berlin Hbf
13:20,RE 62019,Wismar (an 16:37),Berlin Hbf
13:23,RE 3118,Cottbus Hbf (an 14:55),Berlin Hbf
13:26 (+1),ICE 691,München Hbf (an 21:25),Berlin Hbf
13:27,FLX 1240,Berlin Gesundbrunnen (an 13:26),Berlin Hbf
13:30 (+11),ICE 707,München Hbf (an 18:03),Berlin Hbf
13:31,RE 3348,Schwedt(Oder) (an 14:56),Berlin Hbf
13:33 (+1),ICE 374,Berlin Ostbahnhof (an 13:40),Berlin Hbf
13:35,RE 3309,Jüterbog (an 14:26),Berlin Hbf
13:37,RE 3119,Nauen (an 14:21),Berlin Hbf
13:38 (+1),ICE 1600,Hamburg-Altona (an 15:39),Berlin Hbf
13:40,RE 62016,Flughafen BER (an 14:15),Berlin Hbf
13:41 (+1),ICE 1710,Ostseebad Binz (an 17:33),Berlin Hbf
13:41,RE 51710,Prenzlau (an 14:58),Berlin Hbf
13:41,RE 73775,Brandenburg Hbf (an 14:38),Berlin Hbf
13:46 (+1),ICE 848,Düsseldorf Hbf (an 18:07),Berlin Hbf
13:46,ICE 858,Köln Hbf (an 18:40),Berlin Hbf
13:46 (+3),RE 3720,Senftenberg (an 15:41),Berlin Hbf
13:47,RB 18517,Berlin Südkreuz (an 13:55),Berlin Hbf
13:50,RB 18156,Berlin-Charlottenburg (an 13:58),Berlin Hbf
13:54,FLX 1363,Leipzig Hbf (an 15:15),Berlin Hbf
13:55,IC 143,Krakow Glowny (an 23:51),Berlin Hbf
13:57 (+3),RE 3175,Stendal Hbf (an 15:27),Berlin Hbf
13:59,RE 73730,Erkner (an 14:30),Berlin Hbf
14:01 (+2),ICE 1695,München Hbf (an 19:17),Berlin Hbf
14:01 (+2),ICE 95,Wien Hbf (an 21:47),Berlin Hbf
14:01,RE 73735,Magdeburg Hbf (an 15:47),Berlin Hbf
14:01,RE 92654,Brandenburg Hbf (an 14:53),Berlin Hbf
14:05 (+6),ICE 1694,Hamburg-Altona (an 16:20),Berlin Hbf
14:05 (+1),ICE 94,Hamburg-Altona (an 16:20),Berlin Hbf
14:06,IC 142,Hannover Hbf (an 15:53),Berlin Hbf
14:06,RE 3172,Jüterbog (an 14:56),Berlin Hbf
14:10,RB 18159,Flughafen BER (an 14:46),Berlin Hbf
14:12,RB 18518,Nauen (an 14:50),Berlin Hbf
14:14,RE 3725,Dessau Hbf (an 15:53),Berlin Hbf
14:14,RE 73772,Frankfurt(Oder) (an 15:31),Berlin Hbf
14:20 (+23),ICE 847,Berlin Ostbahnhof (an 14:27),Berlin Hbf
14:20 (+23),ICE 857,Berlin Ostbahnhof (an 14:27),Berlin Hbf
