Abfahrt,Zugnr.,nach (Ankunft),Gleis
09:28,RJ 173,Praha hl.n. (an 13:25),3
09:32,RE 3345,Luckenwalde (an 10:27),2
09:36 (+7),ICE 1505,München Hbf (an 13:43),4
09:37,RE 73761,Frankfurt(Oder) (an 10:43),12
09:38 (+1),IC 2272,Rostock Hbf (an 11:37),5
09:38 (+1),ICE 604,Hamburg-Altona (an 12:24),6
09:41 (+2),ICE 676,Berlin Ostbahnhof (an 09:51),11
09:41,RB 73810,Brandenburg Hbf (an 10:33),13
09:43,RE 62008,Berlin Südkreuz (an 09:49),1
09:46 (+2),ICE 942,Köln Hbf (an 14:32),14
09:46 (+1),RE 3508,Stralsund Hbf (an 12:51),6
09:46 (+1),RE 3712,Senftenberg (an 11:41),12
09:47,RB 62058,Berlin-Spandau (an 09:59),7
09:52 (+5),EC 45,Warszawa Wschodnia (an 15:15),11
09:52,RB 18150,Golm (an 10:36),13
09:54 (+13),ICE 91,Nürnberg Hbf (an 13:30),3
09:54 (+3),RE 3171,Stendal Hbf (an 11:30),7
09:55 (+3),ICE 741,Berlin Ostbahnhof (an 10:02),12
09:59 (+3),RE 73721,Frankfurt(Oder) (an 11:18),11
10:00,RB 18508,Lübbenau(Spreewald) (an 11:15),
10:01 (+2),ICE 1044,Bremen Hbf (an 12:45),6
10:01 (+1),RE 73726,Magdeburg Hbf (an 11:50),13
10:04 (+25),ICE 1041,Berlin Südkreuz (an 10:09),3
10:06 (+3),FLX 1234,Hamburg Hbf (an 12:34),5
10:07 (+1),ICE 146,Amsterdam Centraal (an 16:01),14
10:07,RE 3168,Jüterbog (an 10:54),2
10:10,RB 18149,Berlin Ostbahnhof (an 10:21),11
10:14,RB 62059,Berlin Südkreuz (an 10:22),1
10:14 (+1),RE 3507,Berlin Südkreuz (an 10:24),4
10:15 (+1),RE 3717,Dessau Hbf (an 11:53),14
10:15,RE 73811,Berlin Ostkreuz (an 10:31),12
10:20 (+14),ICE 1708,Berlin Gesundbrunnen (an 10:24),8
10:20 (+9),ICE 843,Berlin Ostbahnhof (an 10:29),11
10:22,RB 21857,Berlin Südkreuz (an 10:29),
10:23,RE 3346,Angermünde (an 11:23),6
10:24,RE 73768,Brandenburg Hbf (an 11:19),13
10:25,RE 62013,Berlin-Spandau (an 10:35),7 A - D
10:26,IC 2175,Dresden Hbf (an 12:28),4
10:29 (+2),ICE 507,München Hbf (an 15:08),3
10:31 (+1),ICE 373,Chur (an 20:22),14
10:36 (+5),ICE 1007,München Hbf (an 14:45),4
10:37,RB 21859,Berlin Südkreuz (an 10:44),
10:37,RE 73763,Frankfurt(Oder) (an 11:43),12
10:38,ICE 1700,Hamburg Hbf (an 13:12),7
10:40 (+1),RE 3305,Lutherstadt Wittenberg Hbf (an 12:07),2 A - D
10:42 (+7),ICE 996,Berlin Ostbahnhof (an 10:49),11
10:44,RE 62010,Elsterwerda (an 12:31),2 D - G
10:46 (+1),ICE 640,Köln Hbf (an 15:34),14
10:46,RE 3714,Berlin Ostbahnhof (an 10:56),12
10:46,RE 4356,Rostock Hbf (an 13:21),5
10:48,RB 62060,Berlin-Spandau (an 10:59),7
10:52,RB 21861,Berlin Südkreuz (an 10:59),
10:54,RE 3151,Rathenow (an 11:54),7
10:58 (+2),ICE 934,Ostseebad Binz (an 14:29),6
10:59,RE 73723,Frankfurt(Oder) (an 12:18),11
11:00,RB 18510,Lübbenau(Spreewald) (an 12:15),1
11:01,RE 73728,Magdeburg Hbf (an 12:50),13
11:05 (+1),ICE 839,Frankfurt(Main)Hbf (an 14:56),4
11:09 (+4),RE 3150,Falkenberg(Elster) (an 12:44),2
11:13 (+1),ICE 1546,Aachen Hbf (an 17:09),3
11:14 (+1),RB 62061,Berlin Südkreuz (an 11:21),1
11:14 (+6),RE 4357,Berlin Südkreuz (an 11:23),4
11:15 (+1),RE 3719,Dessau Hbf (an 12:53),13
