Abfahrt ▼,Ist ▼,Zugnr. ▼,nach (Ankunft) ▼,Gleis ▼
06:07,06:07,RB 18500,Lübbenau(Spreewald) (an 07:16),1
06:07,06:07,RE 4,Karlsruhe Hbf (an 21:53),
06:12 (+1),06:13,RJ 251,Villach Hbf (an 18:27),3
06:12 (+1),06:13,RJX 251,Villach Hbf (an 18:27),3
06:14 (+6),06:20,ICE 240,Amsterdam Centraal (an 12:04),6
06:15,06:15,RE 3503,Sargans (an 22:24),
06:21 (+1),06:22,RE 62005,Wismar (an 09:39),7
06:21,06:21,RE 8,Kassel-Wilhelmshöhe (an 20:55),
06:23 (+1),06:24,RE 3342,Schwedt(Oder) (an 07:55),6
06:29 (+29),06:58,ICE 2793,München Hbf (an 17:09),3
06:29 (+1),06:30,ICE 503,München Hbf (an 11:07),3
06:31 (+3),06:34,ICE 279,Interlaken Ost (an 15:59),7
06:35,06:35,EC 43,Warszawa Wschodnia (an 13:15),
06:36 (+1),06:37,ICE 1003,München Hbf (an 10:45),4
06:40,06:40,RE 3301,Lutherstadt Wittenberg Hbf (an 08:07),2 A - D
06:46,06:46,RE 4352,Rostock Hbf (an 09:23),5
06:47 (+1),06:48,ICE 644,Düsseldorf Hbf (an 11:11),6
06:54 (+12),07:06,RE 3147,Berlin-Spandau (an 07:04),
06:59 (+2),07:01,RE 62002,Elsterwerda (an 08:29),2 D - G
07:04 (+6),07:10,ICE 654,Köln Hbf (an 12:17),7
07:06,07:06,ICE 2806,Frankfurt(Main)Hbf (an 10:56),
07:06,07:06,ICE 750,Frankfurt(Main)Hbf (an 10:56),
07:07,07:07,RB 18502,Lübbenau(Spreewald) (an 08:14),1
07:09,07:09,RE 3146,Berlin Südkreuz (an 07:15),
07:14 (+2),07:16,RE 4353,Berlin Südkreuz (an 07:23),
07:18,07:18,RE 62007,Wittenberge (an 08:56),5
07:22,07:22,RE 10237,Münster(Westf)Hbf (an 23:35),6
07:22,07:22,RE 21833,Berlin Südkreuz (an 07:29),
07:22,07:22,RE 3,Ulm Hbf (an 23:40),
07:22 (+1),07:23,RE 3304,Stralsund Hbf (an 10:44),6
07:27 (+25),07:52,ICE 2585,München Hbf (an 15:14),4
07:27,07:27,ICE 2863,München Hbf (an 22:53),
07:27 (+25),07:52,ICE 595,München Hbf (an 15:14),4
07:28 (+1),07:29,RJ 387,Praha hl.n. (an 11:25),3
07:32 (+5),07:37,RE 3343,Luckenwalde (an 08:27),2
07:35,07:35,EC 59,Przemyśl Główny (an 18:48),
07:36,07:36,ICE 1503,München Hbf (an 11:43),
07:37 (+21),07:58,ICE 606,Hamburg Hbf (an 09:24),6
07:43 (+2),07:45,RE 62004,Elsterwerda (an 09:14),2
07:46 (+1),07:47,RE 3506,St. Gallen(CH) (an 23:34),6
07:47,07:47,ICE 944,Stralsund Hbf (an 15:38),7
07:47,07:47,ICE 954,Köln Hbf (an 12:22),7
07:52,07:52,RE 3169,Stendal Hbf (an 09:13),6
07:57 (+1),07:58,FLX 1235,Stuttgart Hbf (an 13:45),4
08:00 (+24),08:24,ICE 1131,Frankfurt(Main)Hbf (an 11:56),7
08:07,08:07,RB 18504,Lübbenau(Spreewald) (an 09:15),1
08:07,08:07,RE 20,Cottbus Hbf (an 22:48),
08:07,08:07,RE 3166,Berlin Südkreuz (an 08:13),
08:10 (+53),09:03,ICE 698,Berlin Gesundbrunnen (an 08:14),6
08:15,08:15,IC 2474,Ostseebad Binz (an 12:12),
08:16 (+4),08:20,ICE 148,Amsterdam Centraal (an 14:04),7
08:16 (+1),08:17,RE 3505,Sargans (an 23:24),3
08:19 (+4),08:23,FLX 1332,Hamburg-Bergedorf (an 10:11),5
08:22,08:22,RB 21841,Berlin Südkreuz (an 08:29),
08:22 (+4),08:26,RE 62009,Wismar (an 11:37),8
08:23,08:23,RE 3344,Angermünde (an 09:23),
08:29 (+2),08:31,ICE 505,München Hbf (an 13:08),3
08:31 (+6),08:37,ICE 371,Basel SBB (an 15:48),8
08:35,08:35,EC 45,Warszawa Wschodnia (an 15:15),
08:35 (+9),08:44,ICE 2570,Hamburg Hbf (an 10:42),5
08:36 (+2),08:38,ICE 1005,München Hbf (an 12:46),4
08:39 (+2),08:41,FLX 1320,Köln Hbf (an 13:41),7
08:40,08:40,RE 3303,Lutherstadt Wittenberg Hbf (an 10:07),2 A - D
08:41 (+3),08:44,RE 62006,Elsterwerda (an 10:11),2 D - G
08:41,08:41,RE 62103,Elsterwerda (an 10:11),
08:46,08:46,RE 4354,Rostock Hbf (an 11:23),5
08:47 (+1),08:48,ICE 642,Düsseldorf Hbf (an 13:11),7
08:54,08:54,RE 3149,Berlin-Spandau (an 09:04),
