Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
16:44,RE 62022,Flughafen BER - Terminal 1-2 (an 17:15),Berlin Friedrichstr
16:49,RE 93026,Lübben(Spreewald) (an 17:56),Berlin Friedrichstr
16:49,RE 93026,Lübben(Spreewald) (an 17:56),Berlin Friedrichstraße
16:59,RE 3123,Frankfurt(Oder) (an 18:03),Berlin Friedrichstraße
16:59 (+2),RE 73736,Frankfurt(Oder) (an 18:03),Berlin Friedrichstr
16:59,RE 73736,Frankfurt(Oder) (an 18:03),Berlin Friedrichstraße
16:59,RE 73741,Magdeburg Hbf (an 18:47),Berlin Friedrichstraße
16:59 (+1),RE 73741,Magdeburg Hbf (an 18:47),Berlin Friedrichstr
17:10,RE 93031,Berlin Zoologischer Garten (an 17:19),Berlin Friedrichstraße
17:10,RE 93031,Berlin Zoologischer Garten (an 17:19),Berlin Friedrichstr
17:10,RE 93031,Berlin Hbf (an 17:12),Berlin Friedrichstraße
17:10,RE 93031,Berlin Hbf (an 17:12),Berlin Friedrichstr
17:15,RE 62027,Wismar (an 20:37),Berlin Friedrichstraße
17:15,RE 62027,Wismar (an 20:37),Berlin Friedrichstr
17:17,RE 73778,Frankfurt(Oder) (an 18:31),Berlin Friedrichstraße
17:17,RE 93778,Frankfurt(Oder) (an 18:31),Berlin Friedrichstraße
17:17,RE 93778,Frankfurt(Oder) (an 18:31),Berlin Friedrichstr
17:26,RE 18444,Lübben(Spreewald) (an 18:25),Berlin Friedrichstraße
17:26 (+1),RE 3126,Lübben(Spreewald) (an 18:25),Berlin Friedrichstr
17:26,RE 3126,Lübben(Spreewald) (an 18:25),Berlin Friedrichstraße
17:26 (+1),RE 3126,Magdeburg Hbf (an 17:47),Berlin Friedrichstr
17:26,RE 3126,Berlin-Wannsee (an 16:22),Berlin Friedrichstraße
17:26 (+1),RE 3126,Berlin-Wannsee (an 16:22),Berlin Friedrichstr
17:33 (+13),RE 3127,Frankfurt(Oder) (an 20:03),Berlin Friedrichstr
17:44,RE 62024,Flughafen BER - Terminal 1-2 (an 18:15),Berlin Friedrichstraße
17:44 (+1),RE 62024,Flughafen BER - Terminal 1-2 (an 18:15),Berlin Friedrichstr
17:49,RE 93028,Lübben(Spreewald) (an 18:56),Berlin Friedrichstr
17:49,RE 93028,Lübben(Spreewald) (an 18:56),Berlin Friedrichstraße
17:59,RE 73738,Frankfurt(Oder) (an 19:03),Berlin Friedrichstraße
17:59 (+7),RE 73738,Frankfurt(Oder) (an 19:03),Berlin Friedrichstr
17:59,RE 73743,Magdeburg Hbf (an 19:47),Berlin Friedrichstraße
17:59,RE 73743,Magdeburg Hbf (an 19:47),Berlin Friedrichstr
18:04,RE2,Lübben(Spreewald) (an 19:05),Berlin Friedrichstraße
18:08,RE 18794,Berlin Ostbahnhof (an 18:15),Berlin Friedrichstraße
18:08,RE 3746,Berlin Ostkreuz (an 18:19),Berlin Friedrichstraße
18:08 (+1),RE 3746,Berlin Ostkreuz (an 18:19),Berlin Friedrichstr
18:10 (+12),RE 93033,Berlin Zoologischer Garten (an 18:19),Berlin Friedrichstr
18:10 (+9),RE 93033,Berlin Zoologischer Garten (an 18:19),Berlin Friedrichstraße
18:15,RE 62029,Wittenberge (an 19:57),Berlin Friedrichstr
18:15,RE 62029,Wittenberge (an 19:57),Berlin Friedrichstraße
18:17,RE 3191,Frankfurt(Oder) (an 19:31),Berlin Friedrichstraße
18:17,RE 93780,Frankfurt(Oder) (an 19:31),Berlin Friedrichstraße
18:17,RE 93780,Frankfurt(Oder) (an 19:31),Berlin Friedrichstr
18:26 (+1),RE 3128,Lübben(Spreewald) (an 19:25),Berlin Friedrichstr
18:26,RE 3128,Lübben(Spreewald) (an 19:25),Berlin Friedrichstraße
18:26 (+1),RE 3128,Magdeburg Hbf (an 18:47),Berlin Friedrichstr
18:26,RE 3128,Magdeburg Hbf (an 18:47),Berlin Friedrichstraße
18:26 (+1),RE 3128,Berlin-Wannsee (an 17:22),Berlin Friedrichstr
18:33,RE 3129,Frankfurt(Oder) (an 21:03),Berlin Friedrichstraße
18:33,RE 3129,Frankfurt(Oder) (an 21:03),Berlin Friedrichstr
18:33,RE 3129,Nauen (an 19:23),Berlin Friedrichstraße
18:33,RE 3129,Nauen (an 19:23),Berlin Friedrichstr
18:44,RE 62026,Flughafen BER - Terminal 1-2 (an 19:15),Berlin Friedrichstraße
18:44 (+3),RE 62026,Flughafen BER - Terminal 1-2 (an 19:15),Berlin Friedrichstr
18:49 (+7),RE 93030,Lübben(Spreewald) (an 19:56),Berlin Friedrichstr
