Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
17:28 (+22),RE 3313,Stralsund Hbf (ab 14:17),Berlin Hbf (tief)
17:28 (+10),RE 3352,Jüterbog (ab 16:33),Berlin Hbf (tief)
17:28,RE 99698,Jüterbog (ab 16:33),Berlin Hbf (tief)
17:31 (+45),ICE 506,München Hbf (ab 12:55),Berlin Hbf (tief)
17:33,FEX19850,Ludwigsfelde (ab 16:32),Berlin Hbf (tief)
17:34 (+7),IC 2174,Dresden Hbf (ab 15:19),Berlin Hbf (tief)
17:34 (+7),RE 52174,Elsterwerda (ab 15:56),Berlin Hbf (tief)
17:45 (+1),RB 18525,Nauen (ab 17:08),Berlin Hbf (tief)
17:46 (+1),RB 18624,Berlin Südkreuz (ab 17:40),Berlin Hbf (tief)
17:51 (+1),RE 3179,Brandenburg Hbf (ab 11:20),Berlin Hbf (tief)
17:53 (+36),ICE 1092,München Hbf (ab 12:56),Berlin Hbf (tief)
17:53 (+36),ICE 92,Wien Hbf (ab 10:13),Berlin Hbf (tief)
17:55 (+2),ICE 1009,Hamburg-Altona (ab 15:37),Berlin Hbf (tief)
17:59 (+1),RE 3176,Rathenow (ab 17:07),Berlin Hbf (tief)
18:03,FEX19852,Wünsdorf-Waldstadt (ab 16:49),Berlin Hbf (tief)
18:06,RB 18625,Nauen (ab 17:18),Berlin Hbf (tief)
18:09,RE 62077,Elsterwerda (ab 16:12),Berlin Hbf (tief)
18:10 (+2),RB 18526,Berlin Südkreuz (ab 18:03),Berlin Hbf (tief)
18:16 (+1),ICE 1715,Stralsund Hbf (ab 15:15),Berlin Hbf (tief)
18:16 (+1),RE 51715,Prenzlau (ab 16:48),Berlin Hbf (tief)
18:20 Ausfall,ICE 1605,Hamburg-Altona (ab 16:16),Berlin Hbf (tief)
18:20 (+2),ICE 2905,Hamburg-Altona (ab 16:16),Berlin Hbf (tief)
18:22 (+1),ICE 706,München Hbf (ab 13:54),Berlin Hbf (tief)
18:29 (+1),RE 3353,Schwedt(Oder) (ab 17:06),Berlin Hbf (tief)
18:30 (+3),RE 3316,Lutherstadt Wittenberg Hbf (ab 16:59),Berlin Hbf (tief)
18:32 (+44),ICE 74,Graz Hbf (ab 08:25),Berlin Hbf (tief)
18:34 Ausfall,FEX19854,Ludwigsfelde (ab 17:38),Berlin Hbf (tief)
18:46,RB 18527,Nauen (ab 18:08),Berlin Hbf (tief)
18:48 (+1),RB 18626,Berlin Südkreuz (ab 18:42),Berlin Hbf (tief)
18:52 (+2),RE 3159,Falkenberg(Elster) (ab 17:14),Berlin Hbf (tief)
18:55,ICE 871,Hamburg-Altona (ab 16:37),Berlin Hbf (tief)
18:57 (+1),ICE 576,Stuttgart Hbf (ab 13:23),Berlin Hbf (tief)
19:00,RE 18544,Rathenow (ab 18:03),Berlin Hbf (tief)
19:00,RE 3158,Rathenow (ab 18:03),Berlin Hbf (tief)
19:02 (+42),EC 172,Budapest-Nyugati (ab 07:29),Berlin Hbf (tief)
19:03,FEX19856,Wünsdorf-Waldstadt (ab 17:49),Berlin Hbf (tief)
19:06 Ausfall,RB 18627,Nauen (ab 18:18),Berlin Hbf (tief)
19:10 (+1),RB 18528,Berlin Südkreuz (ab 19:03),Berlin Hbf (tief)
19:12,RE 62079,Baruth(Mark) (ab 18:08),Berlin Hbf (tief)
19:15 (+5),IC 2275,Rostock Hbf (ab 17:00),Berlin Hbf (tief)
19:22 (+18),ICE 2917,Hamburg-Altona (ab 17:19),Berlin Hbf (tief)
19:22 (+21),ICE 803,Hamburg-Altona (ab 17:19),Berlin Hbf (tief)
19:28 (+11),RE 3315,Stralsund Hbf (ab 16:17),Berlin Hbf (tief)
19:28 (+16),RE 3354,Jüterbog (ab 18:33),Berlin Hbf (tief)
19:31 (+1),ICE 504,München Hbf (ab 14:56),Berlin Hbf (tief)
19:33,FEX19858,Ludwigsfelde (ab 18:32),Berlin Hbf (tief)
19:33 (+1),IC 2172,Dresden Hbf (ab 17:19),Berlin Hbf (tief)
19:33 (+1),RE 52172,Elsterwerda (ab 17:56),Berlin Hbf (tief)
19:45 (+3),RB 18529,Nauen (ab 19:08),Berlin Hbf (tief)
19:46 Ausfall,RB 18628,Berlin Südkreuz (ab 19:40),Berlin Hbf (tief)
19:47,FLX 1361,Hamburg Hbf (ab 17:45),Berlin Hbf (tief)
19:51 (+10),RE 3181,Jüterbog (ab 19:03),Berlin Hbf (tief)
19:53 (+15),ICE 1002,Garmisch-Partenkirchen (ab 14:15),Berlin Hbf (tief)
19:55 Ausfall,IC 2075,Hamburg-Altona (ab 17:37),Berlin Hbf (tief)
19:59 (+1),RE 3178,Rathenow (ab 19:07),Berlin Hbf (tief)
20:03,FEX19860,Wünsdorf-Waldstadt (ab 18:49),Berlin Hbf (tief)
20:06,RB 18629,Nauen (ab 19:18),Berlin Hbf (tief)
20:09,RE 62081,Elsterwerda (ab 18:12),Berlin Hbf (tief)
20:10 (+3),RB 18530,Berlin Südkreuz (ab 20:03),Berlin Hbf (tief)
20:20 (+1),ICE 1607,Hamburg-Altona (ab 18:18),Berlin Hbf (tief)
20:22 (+1),ICE 704,München Hbf (ab 15:16),Berlin Hbf (tief)
20:28 (+6),RE 3355,Schwedt(Oder) (ab 19:06),Berlin Hbf (tief)
20:30 (+5),RE 3318,Lutherstadt Wittenberg Hbf (ab 18:59),Berlin Hbf (tief)
20:32 (+3),ICE 72,Basel SBB (ab 13:06),Berlin Hbf (tief)
20:33 (+14),FEX19862,Ludwigsfelde (ab 19:38),Berlin Hbf (tief)
20:46 (+1),RB 18531,Nauen (ab 20:08),Berlin Hbf (tief)
20:48 (+3),RB 18630,Berlin Südkreuz (ab 20:42),Berlin Hbf (tief)
20:52 (+2),RE 3161,Falkenberg(Elster) (ab 19:14),Berlin Hbf (tief)
20:55 Ausfall,IC 2073,Hamburg-Altona (ab 18:35),Berlin Hbf (tief)
20:58 Ausfall,ICE 574,Stuttgart Hbf (ab 15:23),Berlin Hbf (tief)
20:59 (+5),RE 3160,Rathenow (ab 20:03),Berlin Hbf (tief)
21:01 (+4),EC 170,Praha hl.n. (ab 16:25),Berlin Hbf (tief)
