Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
15:38 (+2),ICE 508,Hamburg-Altona (an 17:40),Berlin Hbf (tief)
15:42,RE 62074,Elsterwerda (an 17:39),Berlin Hbf (tief)
15:48 (+2),RB 18521,Berlin Südkreuz (an 15:56),Berlin Hbf (tief)
15:48 (+1),RB 18620,Nauen (an 16:33),Berlin Hbf (tief)
15:51,FEX19853,Flughafen BER - Terminal 1-2 (an 16:27),Berlin Hbf (tief)
15:51,RB 18369,Wünsdorf-Waldstadt (an 17:12),Berlin Hbf (tief)
15:56 (+1),RE 3177,Rathenow (an 16:54),Berlin Hbf (tief)
16:01 (+2),RE 3174,Luckenwalde (an 16:51),Berlin Hbf (tief)
16:03 (+1),ICE 1004,Hamburg-Altona (an 18:22),Berlin Hbf (tief)
16:04 (+23),ICE 1007,München Hbf (an 20:02),Berlin Hbf (tief)
16:08 (+1),RB 18621,Berlin Südkreuz (an 16:15),Berlin Hbf (tief)
16:12 (+1),RB 18522,Nauen (an 16:50),Berlin Hbf (tief)
16:26 (+6),IC 2271,Chemnitz Hbf (an 19:31),Berlin Hbf (tief)
16:26,RE 52271,Elsterwerda (an 17:54),Berlin Hbf (tief)
16:29 (+12),ICE 603,München Hbf (an 21:03),Berlin Hbf (tief)
16:32 (+9),RE 3351,Zahna (an 17:40),Berlin Hbf (tief)
16:33 (+2),RE 3314,Stralsund Hbf (an 19:43),Berlin Hbf (tief)
16:44,RE 62076,Baruth(Mark) (an 17:50),Berlin Hbf (tief)
16:47 (+6),RB 18523,Berlin Südkreuz (an 16:55),Berlin Hbf (tief)
16:50 (+1),RB 18622,Nauen (an 17:33),Berlin Hbf (tief)
16:56,FEX19857,Flughafen BER - Terminal 1-2 (an 17:28),Berlin Hbf (tief)
16:56,RB 18371,Wünsdorf-Waldstadt (an 18:12),Berlin Hbf (tief)
16:56 (+2),RE 3157,Rathenow (an 17:56),Berlin Hbf (tief)
17:01 (+1),EC 179,Praha hl.n. (an 21:35),Berlin Hbf (tief)
17:02 (+1),RE 3156,Falkenberg(Elster) (an 18:35),Berlin Hbf (tief)
17:02,RE 62174,Berlin Südkreuz (an 17:11),Berlin Hbf (tief)
17:04 (+35),ICE 773,Stuttgart Hbf (an 22:55),Berlin Hbf (tief)
17:06 (+1),EC 378,Kiel Hbf (an 20:20),Berlin Hbf (tief)
17:08 (+3),RB 18623,Berlin Südkreuz (an 17:15),Berlin Hbf (tief)
17:12 (+5),RB 18524,Nauen (an 17:50),Berlin Hbf (tief)
17:26 (+2),ICE 273,Karlsruhe Hbf (an 23:09),Berlin Hbf (tief)
17:31 (+2),RE 3313,Jüterbog (an 18:26),Berlin Hbf (tief)
17:31 Ausfall,RE 3352,Schwedt(Oder) (an 18:56),Berlin Hbf (tief)
17:31,RE 99698,Angermünde (an 18:29),Berlin Hbf (tief)
17:34 (+1),ICE 801,München Hbf (an 22:09),Berlin Hbf (tief)
17:36 (+9),IC 2174,Rostock Hbf (an 19:59),Berlin Hbf (tief)
17:36 (+23),ICE 506,Hamburg-Altona (an 19:40),Berlin Hbf (tief)
17:42,RE 62078,Elsterwerda (an 19:39),Berlin Hbf (tief)
17:48 (+12),RB 18525,Berlin Südkreuz (an 17:55),Berlin Hbf (tief)
17:48 (+2),RB 18624,Nauen (an 18:33),Berlin Hbf (tief)
17:54,FEX19861,Flughafen BER - Terminal 1-2 (an 18:28),Berlin Hbf (tief)
17:54,RB 18373,Wünsdorf-Waldstadt (an 19:12),Berlin Hbf (tief)
17:56 (+10),RE 3179,Frankfurt(Oder) (an 13:31),Berlin Hbf (tief)
18:01 (+5),RE 3176,Jüterbog (an 18:56),Berlin Hbf (tief)
18:04 (+1),ICE 1009,München Hbf (an 22:01),Berlin Hbf (tief)
18:05 (+1),ICE 92,Hamburg-Altona (an 20:15),Berlin Hbf (tief)
18:08 (+1),RB 18625,Berlin Südkreuz (an 18:15),Berlin Hbf (tief)
18:12 (+10),RB 18526,Nauen (an 18:50),Berlin Hbf (tief)
18:14 (+2),ICE 1055,Stralsund Hbf (an 20:58),Berlin Hbf (tief)
18:14,RE 4756,Frankfurt(Main)Hbf (an 11:22),Berlin Hbf (tief)
18:14,RE 51055,Prenzlau (an 19:31),Berlin Hbf (tief)
18:26 (+1),IC 2273,Dresden Hbf (an 20:27),Berlin Hbf (tief)
18:26,RE 52273,Elsterwerda (an 19:54),Berlin Hbf (tief)
18:29 (+1),ICE 1715,München Hbf (an 23:03),Berlin Hbf (tief)
18:29 (+1),RE 51715,Berlin Südkreuz (an 18:34),Berlin Hbf (tief)
18:32 (+1),RE 3353,Ludwigsfelde (an 19:03),Berlin Hbf (tief)
18:33 (+2),RE 3316,Stralsund Hbf (an 21:43),Berlin Hbf (tief)
18:38 (+2),ICE 706,Hamburg-Altona (an 20:38),Berlin Hbf (tief)
18:44,RE 62080,Baruth(Mark) (an 19:50),Berlin Hbf (tief)
18:48,RB 18527,Berlin Südkreuz (an 18:56),Berlin Hbf (tief)
18:50 (+1),RB 18626,Nauen (an 19:33),Berlin Hbf (tief)
18:56 (+1),RE 3159,Rathenow (an 19:56),Berlin Hbf (tief)
18:57,FEX19865,Flughafen BER - Terminal 1-2 (an 19:27),Berlin Hbf (tief)
18:57,RB 18375,Wünsdorf-Waldstadt (an 20:12),Berlin Hbf (tief)
19:01 (+2),ICE 871,Dresden Hbf (an 21:12),Berlin Hbf (tief)
19:02,RE 18544,Berlin Südkreuz (an 19:11),Berlin Hbf (tief)
19:02 (+3),RE 3158,Ludwigsfelde (an 19:27),Berlin Hbf (tief)
19:06 (+10),EC 172,Hamburg-Altona (an 21:34),Berlin Hbf (tief)
19:08,RB 18627,Berlin Südkreuz (an 19:15),Berlin Hbf (tief)
19:12 (+1),RB 18528,Nauen (an 19:50),Berlin Hbf (tief)
19:26,ICE 2917,Berlin Südkreuz (an 19:31),Berlin Hbf (tief)
19:26 (+2),ICE 803,Nürnberg Hbf (an 01:32),Berlin Hbf (tief)
19:35 (+2),RE 3315,Ludwigsfelde (an 20:08),Berlin Hbf (tief)
19:38 (+15),IC 2172,Rostock Hbf (an 22:01),Berlin Hbf (tief)
19:38 (+1),ICE 504,Hamburg-Altona (an 21:40),Berlin Hbf (tief)
19:41 (+1),RE 3354,Schwedt(Oder) (an 20:58),Berlin Hbf (tief)
19:42,RE 62082,Elsterwerda (an 21:39),Berlin Hbf (tief)
19:48 (+1),RB 18529,Berlin Südkreuz (an 19:56),Berlin Hbf (tief)
19:48 (+1),RB 18628,Nauen (an 20:33),Berlin Hbf (tief)
19:56,FEX19869,Flughafen BER - Terminal 1-2 (an 20:28),Berlin Hbf (tief)
19:56,RB 18377,Wünsdorf-Waldstadt (an 21:12),Berlin Hbf (tief)
19:56 (+1),RE 3181,Rathenow (an 20:53),Berlin Hbf (tief)
20:01 (+1),RE 3178,Ludwigsfelde (an 20:27),Berlin Hbf (tief)
20:04 (+1),ICE 1109,München Hbf (an 03:20),Berlin Hbf (tief)
20:08,RB 18629,Berlin Südkreuz (an 20:15),Berlin Hbf (tief)
20:12 (+2),RB 18530,Nauen (an 20:50),Berlin Hbf (tief)
20:26 (+1),IC 2275,Dresden Hbf (an 22:40),Berlin Hbf (tief)
20:26,RE 17,Flughafen BER - Terminal 1-2 (an 20:54),Berlin Hbf (tief)
20:26,RE 52275,Elsterwerda (an 21:59),Berlin Hbf (tief)
20:29 (+1),ICE 1607,Leipzig Hbf (an 22:14),Berlin Hbf (tief)
20:32 (+2),RE 3355,Ludwigsfelde (an 21:08),Berlin Hbf (tief)
20:33 (+1),RE 3318,Greifswald (an 23:20),Berlin Hbf (tief)
20:36 (+2),IC 60408,Zürich HB (an 09:05),Berlin Hbf (tief)
20:36 (+2),NJ 408,Zürich HB (an 09:05),Berlin Hbf (tief)
20:38 (+11),ICE 1002,Hamburg-Altona (an 22:42),Berlin Hbf (tief)
20:44,RE 62084,Baruth(Mark) (an 21:50),Berlin Hbf (tief)
20:48,RB 18531,Berlin Südkreuz (an 20:56),Berlin Hbf (tief)
20:50,RB 18630,Nauen (an 21:31),Berlin Hbf (tief)
20:53,FEX19873,Flughafen BER - Terminal 1-2 (an 21:28),Berlin Hbf (tief)
20:53,RB 18379,Wünsdorf-Waldstadt (an 22:12),Berlin Hbf (tief)
