Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
19:20 (+37),RE 3131,Hennigsdorf(b Berlin) (an 20:23),Berlin Ostkreuz
19:22 (+25),IC 2431,Cottbus Hbf (an 20:36),Berlin Ostkreuz
19:22 (+17),RE 62431,Cottbus Hbf (an 20:36),Berlin Ostkreuz
19:26,RE 73787,Brandenburg Hbf (an 20:38),Berlin Ostkreuz
19:30 (+6),IC 2172,Rostock Hbf (an 21:36),Berlin Ostkreuz
19:32,RE 73782,Pillgram (an 20:21),Berlin Ostkreuz
19:33,RE 62082,Elsterwerda (an 21:42),Berlin Ostkreuz
19:39 (+17),RE 3130,Cottbus Hbf (an 20:55),Berlin Ostkreuz
19:45,RE 73747,Möser (an 21:34),Berlin Ostkreuz
19:45,RE 93747,Brandenburg Hbf (an 20:53),Berlin Ostkreuz
19:48,RB 61141,Oranienburg (an 20:21),Berlin Ostkreuz
19:57 (+34),RE 3737,Dessau Hbf (an 21:53),Berlin Ostkreuz
19:57,RE 62028,Flughafen BER (an 20:15),Berlin Ostkreuz
20:01,RE 62081,Berlin-Lichtenberg (an 20:05),Berlin Ostkreuz
20:03 (+4),RE 3732,Lübbenau(Spreewald) (an 21:03),Berlin Ostkreuz
20:03,RE 62033,Elstal (an 20:52),Berlin Ostkreuz
20:15,RE 73742,Frankfurt(Oder) (an 21:05),Berlin Ostkreuz
20:19 (+33),RE 3133,Hennigsdorf(b Berlin) (an 21:22),Berlin Ostkreuz
20:26,RE 73789,Brandenburg Hbf (an 21:39),Berlin Ostkreuz
20:26,RE 93089,Brandenburg Hbf (an 21:39),Berlin Ostkreuz
20:32,RE 73784,Frankfurt(Oder) (an 21:31),Berlin Ostkreuz
20:33 (+1),IC 2275,Dresden Hbf (an 22:27),Berlin Ostkreuz
20:33,RE 17,Elsterwerda (an 21:35),Berlin Ostkreuz
20:33,RE 52275,Elsterwerda (an 21:35),Berlin Ostkreuz
20:39,RE 3132,Cottbus Hbf (an 21:55),Berlin Ostkreuz
20:45,RE 73749,Möser (an 22:34),Berlin Ostkreuz
20:45,RE 91567,Brandenburg Hbf (an 21:53),Berlin Ostkreuz
20:48,RB 61143,Oranienburg (an 21:21),Berlin Ostkreuz
20:49,RE 62084,Baruth(Mark) (an 21:53),Berlin Ostkreuz
20:51,RE 73826,Fürstenwalde(Spree) (an 21:24),Berlin Ostkreuz
20:57 (+9),RE 3739,Dessau Hbf (an 22:52),Berlin Ostkreuz
20:57,RE 62030,Flughafen BER (an 21:15),Berlin Ostkreuz
20:57,RE 7,Berlin Hbf (an 21:12),Berlin Ostkreuz
21:03 (+1),RE 3734,Cottbus Hbf (an 22:30),Berlin Ostkreuz
21:03,RE 62035,Elstal (an 21:52),Berlin Ostkreuz
21:15,RE 73744,Fürstenwalde(Spree) (an 21:47),Berlin Ostkreuz
21:20,RE 3135,Hennigsdorf(b Berlin) (an 22:25),Berlin Ostkreuz
21:25,RE 73791,Möser (an 23:21),Berlin Ostkreuz
21:25,RE 91491,Brandenburg Hbf (an 22:39),Berlin Ostkreuz
21:32,RE 73786,Frankfurt(Oder) (an 22:31),Berlin Ostkreuz
21:39 (+45),RE 3134,Cottbus Hbf (an 22:55),Berlin Ostkreuz
21:48,RB 61145,Oranienburg (an 22:21),Berlin Ostkreuz
21:48,RE 62086,Elsterwerda (an 23:37),Berlin Ostkreuz
21:52,RE 73828,Eisenhüttenstadt (an 23:00),Berlin Ostkreuz
21:59 (+12),RE 3741,Bad Belzig (an 23:19),Berlin Ostkreuz
22:00,RE 62085,Berlin-Lichtenberg (an 22:04),Berlin Ostkreuz
22:03 (+32),RE 3736,Lübbenau(Spreewald) (an 23:04),Berlin Ostkreuz
22:04,RE 62037,Berlin-Spandau (an 22:35),Berlin Ostkreuz
22:08 (+1),RB 18334,Eberswalde Hbf (an 22:56),Berlin Ostkreuz
22:11,FEX91377,Flughafen BER (an 22:31),Berlin Ostkreuz
22:15,RE 73746,Fürstenwalde(Spree) (an 22:47),Berlin Ostkreuz
22:20 (+33),RE 3137,Berlin-Spandau (an 22:54),Berlin Ostkreuz
22:25,RE 73793,Möser (an 00:21),Berlin Ostkreuz
22:25,RE 90093,Brandenburg Hbf (an 23:39),Berlin Ostkreuz
22:41,FEX91379,Flughafen BER (an 23:02),Berlin Ostkreuz
22:45,RE 73827,Berlin Zoologischer Garten (an 23:07),Berlin Ostkreuz
22:46,RE 62088,Baruth(Mark) (an 23:52),Berlin Ostkreuz
23:03,RE 62039,Wustermark (an 23:54),Berlin Ostkreuz
23:08 (+23),RE 3136,Cottbus Hbf (an 00:39),Berlin Ostkreuz
23:19,RE 3139,Berlin-Spandau (an 23:54),Berlin Ostkreuz
23:25,RE 73795,Berlin Hbf (an 23:39),Berlin Ostkreuz
23:25,RE 90095,Berlin-Wannsee (an 23:59),Berlin Ostkreuz
23:47,RE 73829,Berlin Friedrichstr (an 23:58),Berlin Ostkreuz
