Ankunft,Zugnr.,von (Abfahrt),Gleis
17:20,RE 3731,Berlin Ostbahnhof (ab 17:04),3
17:29,RE 73777,Brandenburg Hbf (ab 16:44),2
17:29,RE 73782,Frankfurt(Oder) (ab 16:08),4
17:38 (+7),RE 3728,Dessau Hbf (ab 16:05),2
17:51 (+4),RE 73737,Magdeburg Hbf (ab 16:12),2
18:03 (+2),RB 18165,Golm (ab 17:27),1
18:07,RE 73742,Frankfurt(Oder) (ab 16:38),3
18:08 (+2),RE 73819,Brandenburg Hbf (ab 17:22),2
18:20 (+7),RE 3733,Berlin Ostbahnhof (ab 18:04),3
18:21 Ausfall,IC 2431,Emden Außenhafen (ab 12:01),2
18:29 (+6),RE 73779,Brandenburg Hbf (ab 17:45),2
18:29 (+3),RE 73784,Frankfurt(Oder) (ab 17:08),4
18:38 (+1),RE 3730,Dessau Hbf (ab 17:05),2
18:44,ICE 1549,Köln Hbf (ab 13:34),2
18:46,RE 73820,Berlin Ostbahnhof (ab 18:30),3
18:51,RE 73739,Magdeburg Hbf (ab 17:12),2
19:07,RE 73744,Frankfurt(Oder) (ab 17:38),4
19:20,RE 3735,Senftenberg (ab 17:14),3
19:29,RE 73781,Brandenburg Hbf (ab 18:44),3
19:38,RE 3732,Dessau Hbf (ab 18:05),2
19:51,RE 73741,Magdeburg Hbf (ab 18:12),2
20:07,RE 73746,Frankfurt(Oder) (ab 18:38),4
20:18,RE 3132,Hennigsdorf(b Berlin) (ab 19:35),1
20:20,RE 3737,Senftenberg (ab 18:14),3
20:29,RE 73783,Brandenburg Hbf (ab 19:44),2
20:29,RE 73788,Frankfurt(Oder) (ab 19:08),4
20:33 (+11),ICE 2925,Berlin Ostbahnhof (ab 20:14),3
20:33 (+11),ICE 679,Berlin Ostbahnhof (ab 20:14),3
20:33 (+7),ICE 794,Karlsruhe Hbf (ab 14:40),1
20:38 (+1),ICE 540,Berlin Ostbahnhof (ab 20:20),4
20:38,RE 3734,Dessau Hbf (ab 19:05),2
20:42,RB 80439,Thale Hbf (ab 17:17),1
20:45 (+23),ICE 1055,Düsseldorf Hbf (ab 16:06),2
20:51,RE 73743,Magdeburg Hbf (ab 19:12),2
21:07,RE 73748,Frankfurt(Oder) (ab 19:42),4
21:11 (+16),ICE 643,Köln Hbf (ab 16:26),1
21:18,RE 3134,Hennigsdorf(b Berlin) (ab 20:35),1
21:20,RE 3739,Senftenberg (ab 19:14),3
21:29,RE 73785,Brandenburg Hbf (ab 20:44),2
21:33 (+4),ICe 278,Basel SBB (ab 14:16),1
21:38,RE 3736,Dessau Hbf (ab 20:05),2
21:51,ICE 840,Berlin Ostbahnhof (ab 21:32),3
21:51,RE 73745,Magdeburg Hbf (ab 20:12),2
22:01,RE 73790,Frankfurt(Oder) (ab 20:32),4
22:12,ICE 945,Köln Hbf (ab 17:24),2
22:22,RE 94241,Berlin Ostbahnhof (ab 22:06),
22:26,EC 40,Warszawa Wschodnia (ab 16:49),4
22:29,RE 73787,Brandenburg Hbf (ab 21:44),2
22:33 (+20),ICE 792,Frankfurt(M) Flughafen Fernbf (ab 18:09),1
22:38,RE 3738,Dessau Hbf (ab 21:05),2
22:51 (+25),RE 73747,Magdeburg Hbf (ab 21:07),2
23:01,RE 73792,Frankfurt(Oder) (ab 21:32),4
23:10 (+2),ICE 645,Köln Hbf (ab 18:25),1
23:14,RB 73824,Fürstenwalde(Spree) (ab 22:15),4
23:20,RE 3743,Berlin Ostbahnhof (ab 23:04),3
23:27,iCe 276,Brig (ab 13:45),2
23:27 (+29),ICE 276,Brig (ab 13:45),2
23:33,ICE 273,Berlin Ostbahnhof (ab 23:15),3
23:46 (+2),ICE 1540,Berlin Ostbahnhof (ab 23:21),3
23:51 (+11),RE 73749,Magdeburg Hbf (ab 22:07),2
